B0379.4a.1	10086609,10086869,10087037,10087489,10087993,10088496,10089973,10091533,10093778,10100761	10086787,10086950,10087388,10087842,10088387,10089861,10091425,10093678,10100663,10101904
B0379.4b.1	10086609,10086869,10087037,10087489,10087993,10088496,10089973,10091533,10093778	10086787,10086950,10087388,10087842,10088387,10089861,10091425,10093678,10093864
B0379.4c.1	10086609,10086869,10087037,10087489,10087993,10088496	10086787,10086950,10087388,10087842,10088387,10088599
B0379.6.1	10097566	10097621
B0379.7.1	10072693,10072790,10073291	10072740,10072868,10073338
B0379.7.2	10072693,10072790,10073291	10072740,10072868,10073338
B0414.1.1	5802028,5802198,5802542,5802904	5802093,5802267,5802684,5802960
B0414.2.1	5783910,5784925,5785301,5786176,5787269,5787937,5788108	5784806,5785180,5786101,5787151,5787877,5787988,5788159
B0414.2.2	5783910,5784925,5785301,5786176,5787269,5787937,5788108	5784806,5785180,5786101,5787151,5787877,5787988,5788159
B0414.3.1	5774858	5775016
B0414.5.1	5789382,5789670,5790347,5790580,5791554	5789456,5789745,5790420,5790623,5791600
B0414.6.1	5792786,5793017,5793167,5794445,5794910	5792834,5793062,5793211,5794555,5794956
B0414.7a.1	5795642,5795846,5796551,5796722,5797385,5797539,5797712,5798835,5799512,5799962,5800423,5800834,5800957,5801109	5795689,5795921,5796597,5796877,5797433,5797579,5798048,5798878,5799698,5800196,5800470,5800882,5801016,5801197
B0414.7b.1	5795648,5795846,5796551,5796722,5797385,5797539,5797712,5798835,5799512,5799962,5800423,5800834,5800957,5801109	5795689,5795921,5796597,5796877,5797433,5797579,5798048,5798878,5799698,5800196,5800470,5800882,5801016,5801197
B0414.8a.1	5804240,5804799,5804927,5805242,5805593,5805813,5806213,5806693,5806914,5807140	5804639,5804844,5805142,5805294,5805658,5805882,5806260,5806751,5806964,5807182
B0414.8b.1	5804927,5805242,5805593,5805813,5806213,5806693,5806914,5807140	5805147,5805294,5805658,5805882,5806260,5806751,5806964,5807182
B0511.10.1	10641264,10641796,10642118	10641318,10641841,10642185
B0511.1.1	10668002,10668821,10669132,10669277,10670566,10670835	10668635,10669056,10669177,10670257,10670662,10670895
B0511.11.1	10648750,10648901,10649053,10649174,10649834,10650240,10650431	10648796,10648947,10649097,10649287,10650009,10650285,10653798
B0511.12a.1	10654718,10655149,10655321,10656466,10656638,10657009,10657593,10657944,10658719,10659022,10659314,10659568,10659820,10660232,10660524,10661042,10661271,10661737,10661943,10663194,10664488,10665797,10666021,10666443,10666658	10655037,10655194,10655654,10656514,10656690,10657448,10657647,10658423,10658765,10659072,10659363,10659615,10659867,10660283,10660584,10661085,10661336,10661784,10662807,10663897,10665748,10665843,10666339,10666488,10666809
B0511.12b.1	10654718,10655149,10655321,10656466,10656638,10657009,10657593,10657944,10658719,10659022,10659314,10659568,10659820,10660232,10660524,10661042,10661271,10661737,10661943,10663194,10664410,10665797,10666021,10666443,10666658	10655037,10655194,10655654,10656514,10656690,10657448,10657647,10658423,10658765,10659072,10659363,10659615,10659867,10660283,10660584,10661085,10661336,10661784,10662807,10663897,10665748,10665843,10666339,10666488,10666809
B0511.13a.1	10634800,10635134	10634850,10635190
B0511.13b.1	10634800,10635134,10635410,10635836	10634850,10635190,10635538,10635884
B0511.17.1	10643145	10643578
B0511.19.1	10633626	10633759
B0511.2.1	10651119,10651209,10651498,10651723,10651896,10652069,10652286,10652412,10652666,10652756,10652938	10651165,10651254,10651539,10651772,10651945,10652118,10652342,10652534,10652709,10652802,10652988
B0511.3.1	10647523	10647573
B0511.4.1	10644405,10644555,10644925,10645283	10644449,10644601,10644971,10645328
B0511.5.1	10628896,10629784,10630411,10630947,10631137	10629714,10630213,10630874,10630994,10631303
B0511.6.1	10625707,10626478,10627284,10627660,10627881	10625754,10626980,10627542,10627778,10628145
B0511.7.1	10632223,10632739,10632890,10632999	10632565,10632789,10632944,10633042
B0511.8.1	10636868,10637241,10638349	10636911,10637735,10638395
B0511.8.2	10636868,10637241,10638349	10636911,10637735,10638395
B0511.9a.1	10639455,10639752,10639978	10639501,10639918,10640022
B0511.9b.1	10639752,10639874,10639978	10639840,10639918,10640022
B0511.9c.1	10639455,10639752,10639978	10639498,10639918,10640022
B0511.9d.1	10639455,10639752,10639874,10639978,10640134	10639501,10639840,10639918,10640022,10640187
C01A2.1a.1	13410510	13410998
C01A2.1c.1	13410740	13410998
C01A2.2a.1	13397374,13397581,13397795,13397932,13398170	13397501,13397673,13397843,13398030,13398348
C01A2.2b.1	13398170	13398348
C01A2.3.1	13388121,13389481,13390001	13388926,13389834,13390876
C01A2.4.1	13392170,13392506,13393537,13393782	13392270,13393385,13393670,13393833
C01A2.5.1	13384866,13385781	13385112,13386748
C01A2.6.1	13379975,13383871	13383454,13384022
C01A2.7a.1	13402513,13403298,13403474	13403190,13403345,13403732
C01A2.7b.1	13402513,13403298,13403474,13403615	13403190,13403345,13403557,13403732
C01A2.9.1	13376943	13377141
